destination,state,gateway_station,rail_accessibility_score,accessibility_note
Langkawi,Kedah,Alor Setar,65,"ETS & Intercity stop; ferry from Kuala Kedah / Arau"
George Town,Penang,Butterworth,85,"ETS & Intercity stop; regular ferry across the strait"
Kuala Lumpur,Federal Territory of Kuala Lumpur,KL Sentral,100,"Major ETS / Komuter / Intercity hub downtown"
Melaka,Melaka,Seremban,55,"ETS & Komuter stop; ~60 min bus/shuttle to Melaka"
Cameron Highlands,Pahang,Tapah Road,35,"ETS stop; ~40 km uphill drive to Cameron Highlands"
Kota Kinabalu,Sabah,,15,"No KTMB network in Sabah/Borneo; access by air or road from KL hub"
Kuching,Sarawak,,10,"No KTMB network in Sarawak; access by air or road from KL hub"
Redang Island,Terengganu,,12,"No rail; boat from Marang/Merang, air via Kuala Terengganu"
Perhentian Islands,Terengganu,,10,"No rail; boat from Kuala Besut"
Tioman Island,Pahang,,15,"No rail; ferry from Mersing/Tanjung Gemuk, road access"
Kuala Terengganu,Terengganu,,18,"No KTMB rail in Terengganu; air/bus from KL"
Cherating,Pahang,Kuala Lipis,20,"East Coast line; ~70 km last-mile via Kuantan road"
Kota Bharu,Kelantan,Wakaf Bharu,70,"East Coast line terminus area; short transfer to city"
Semporna,Sabah,,8,"No KTMB; road/air via Tawau or Kota Kinabalu"
Kundasang,Sabah,,5,"No KTMB; mountain resort via Ranau road"
Desaru,Johor,Johor Bahru Sentral,35,"Southern line; ~1.5 h bus via Kota Tinggi"
Pangkor Island,Perak,Ipoh,40,"ETS stop; bus to Lumut then ferry"
Taiping,Perak,Taiping,98,"ETS & Intercity station in town"
Ipoh,Perak,Ipoh,100,"Major ETS hub downtown"
Taman Negara,Pahang,Jerantut,60,"East Coast line; jetty/bus to Kuala Tembeling"
Mersing,Johor,,18,"No KTMB station; bus from Segamat/Gemas or Johor Bahru"
Port Dickson,Negeri Sembilan,Seremban,70,"Komuter/ETS hub; ~40 min bus to the coast"
Putrajaya,Federal Territory of Putrajaya,Putrajaya Sentral,80,"KLIA Transit / ERL hub with fast city access"
Sandakan,Sabah,,5,"No KTMB; air via Sandakan airport"
Bako National Park,Sarawak,,3,"No KTMB; boat from Kuching (Jeti Bako)"
